interval,model,run_idx,parameters,mean_accuracy,total_reward,adaptation_time,mean_gamma,log_likelihood,aic,bic
160,M2,8,4,0.94625,466,2.0,2.126793665976716,-424.40600617920984,856.8120123584197,875.5504592690913
160,M2,9,4,0.95375,526,2.5,2.15132793963269,-413.52741555870637,835.0548311174127,853.7932780280844
160,M2,10,4,0.96,504,2.25,2.137353735690428,-419.7233922184528,847.4467844369055,866.1852313475772
160,M2,11,4,0.97,518,1.75,2.1487060268439895,-414.015582470907,836.031164941814,854.7696118524857
160,M2,12,4,0.96375,522,3.0,2.1577660646673293,-411.9750368941924,831.9500737883848,850.6885206990564
160,M2,13,4,0.9625,528,2.75,2.161520144238273,-410.05933671321355,828.1186734264271,846.8571203370988
160,M2,14,4,0.945,496,3.5,2.1428463926528787,-417.7869899042166,843.5739798084333,862.3124267191049
160,M2,15,4,0.96375,510,1.5,2.150934667210058,-414.05898955729936,836.1179791145987,854.8564260252704
160,M2,16,4,0.9675,534,1.75,2.160726548903934,-410.2245423652356,828.4490847304712,847.1875316411429
160,M2,17,4,0.9625,538,2.5,2.169336286775052,-407.03115745146823,822.0623149029365,840.8007618136081
160,M2,18,4,0.96,544,2.5,2.1773431391310485,-403.8158427861024,815.6316855722048,834.3701324828764
160,M2,19,4,0.92875,464,2.5,2.1294450446844326,-424.92164582335124,857.8432916467025,876.5817385573741
160,M3,0,14,0.94125,498,1.75,2.4999999999974993,-36.0071999996087,100.0143999992174,165.59896418656837
160,M3,1,14,0.95875,490,2.0,2.4999999999974993,-35.46784548894831,98.93569097789663,164.5202551652476
160,M3,2,14,0.96375,540,2.75,2.4999999999974993,-32.532138680954205,93.06427736190841,158.64884154925937
160,M3,3,14,0.9375,504,2.25,2.4999999999974993,-33.39376281701185,94.7875256340237,160.3720898213747
160,M3,4,14,0.95125,506,1.75,2.4999999999974993,-32.995946197201874,93.99189239440375,159.5764565817547
160,M3,5,14,0.95875,482,1.25,2.4999999999974993,-35.57507201850632,99.15014403701264,164.7347082243636
160,M3,6,14,0.9575,498,1.75,2.4999999999974993,-34.90453189476377,97.80906378952754,163.39362797687852
160,M3,7,14,0.9625,530,2.0,2.4999999999974993,-29.73210076642056,87.46420153284112,153.0487657201921
160,M3,8,14,0.94625,466,2.0,2.4999999999974993,-36.21312695610261,100.42625391220523,166.01081809955622
160,M3,9,14,0.95375,522,2.5,2.4999999999974993,-34.136517222225145,96.27303444445029,161.85759863180127
160,M3,10,14,0.96,500,2.5,2.4999999999974993,-35.93133845860623,99.86267691721245,165.44724110456343
160,M3,11,14,0.96875,516,1.75,2.4999999999974993,-32.38778372736051,92.77556745472101,158.360131642072
160,M3,12,14,0.965,528,3.0,2.4999999999974993,-33.91480529761766,95.82961059523532,161.41417478258631
160,M3,13,14,0.965,532,2.75,2.4999999999974993,-31.33229973277306,90.66459946554612,156.2491636528971
160,M3,14,14,0.945,496,3.5,2.4999999999974993,-34.35770584210692,96.71541168421383,162.2999758715648
160,M3,15,14,0.96875,518,1.5,2.4999999999974993,-30.5364554044688,89.07291080893759,154.65747499628858
160,M3,16,14,0.96875,536,1.75,2.4999999999974993,-33.09344490204803,94.18688980409605,159.77145399144703
160,M3,17,14,0.96125,536,2.5,2.4999999999974993,-31.685146770931443,91.37029354186288,156.95485772921387
160,M3,18,14,0.9625,548,2.5,2.4999999999974993,-30.05153169869135,88.1030633973827,153.68762758473366
160,M3,19,14,0.93125,468,2.5,2.4999999999974993,-42.65125509154657,113.30251018309313,178.8870743704441
